id,iata,supplier,period,price_usc_per_gallon,price_dollar_per_tonne,start,end
2280,ATH,WF,PW,258.85864731581637,854.8030251662889,2025-03-25,2025-03-31
2267,BER,Total,PW,247.62201866892235,817.6974300485153,2025-03-25,2025-03-31
2268,BOD,Total,PW,270.388176990204,892.8758380570516,2025-03-25,2025-03-31
3251,BOJ3,LukOil,1/2M,242.87878481026652,802.0343232004622,2025-03-16,2025-03-31
3252,BOJ4,LukOil,1/2M,243.78728180761536,805.0343619851075,2025-03-16,2025-03-31
2269,BSL,Total,PW,267.27002537922425,882.5790778072743,2025-03-25,2025-03-31
2270,CGN,Total,PW,251.80228426232415,831.5015030910469,2025-03-25,2025-03-31
2281,DJE,WF,PM,268.601,886.9742222,2025-03-01,2025-03-31
2271,DRS,Total,PW,269.58207005910276,890.2139117491691,2025-03-25,2025-03-31
2272,DUS,Total,PW,254.83781570634324,841.5254350254867,2025-03-25,2025-03-31
2282,DWC,WF,PM,238.43,787.3435460000001,2025-03-01,2025-03-31
2273,EIN,Total,PW,253.99911522626343,838.7558783001671,2025-03-25,2025-03-31
2274,FCO,Total,PW,242.49634389506065,800.7714268102693,2025-03-25,2025-03-31
2275,FRA,Total,PW,242.6696577710719,801.3437438916337,2025-03-25,2025-03-31
2283,HER,WF,PW,264.801441471572,874.427320027425,2025-03-25,2025-03-31
2276,KLV,Total,PW,299.215704073955,988.0700979930142,2025-03-25,2025-03-31
2284,LCA,WF,PM,296.0,977.4512,2025-03-01,2025-03-31
2277,LEJ,Total,PW,258.00385798269633,851.9803398304598,2025-03-25,2025-03-31
2278,LIL,Total,PW,278.63865662530407,920.1205719080791,2025-03-25,2025-03-31
2285,LIN,WF,PW,246.03395801382217,812.4533361532435,2025-03-25,2025-03-31
2279,MRS,Total,PW,264.4714074297117,873.3374816143939,2025-03-25,2025-03-31
2286,MXP,WF,PW,240.60044147157203,794.5107778274252,2025-03-25,2025-03-31
3249,PDV3,LukOil,1/2M,242.72736864404175,801.5343167363546,2025-03-16,2025-03-31
3250,PDV4,LukOil,1/2M,242.72736864404175,801.5343167363546,2025-03-16,2025-03-31
2287,PFO,WF,PM,297.72700000000003,983.1540994000001,2025-03-01,2025-03-31
2288,SKG,WF,PW,262.736441471572,867.6082770274251,2025-03-25,2025-03-31
3245,SOF3,LukOil,1/2M,253.02366794732848,835.5347562956681,2025-03-16,2025-03-31
3243,SOF3L,LukOil,1/2M,256.9604882691734,848.5349243624645,2025-03-16,2025-03-31
3246,SOF4,LukOil,1/2M,256.6576559367238,847.5349114342494,2025-03-16,2025-03-31
3244,SOF4L,LukOil,1/2M,260.59447625856876,860.5350795010457,2025-03-16,2025-03-31
3247,VAR3,LukOil,1/2M,246.81560513211147,815.0344912672585,2025-03-16,2025-03-31
3248,VAR4,LukOil,1/2M,247.7241021294603,818.0345300519039,2025-03-16,2025-03-31
2289,ZTH,WF,PW,283.586441471572,936.4591470274252,2025-03-25,2025-03-31
